Nome: CONCEICAO DO ARAGUAIA
Codigo Estacao: 82861
Latitude: -8.25916666
Longitude: -49.26388888
Altitude: 179.02
Situacao: Operante
Data Inicial: 1984-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);
1985-10-12;0;26,24;null;
1985-10-13;0;27,2;null;
1985-10-14;0;25,76;null;
1985-10-15;0;24,28;null;
1985-10-16;73;23,64;null;
1985-10-17;0;26,56;null;
1985-10-18;0;27,22;null;
1985-10-19;5,5;24,26;null;
1985-10-20;2,2;26,42;null;
1985-10-21;0;27,46;null;
1985-10-22;0;28,24;null;
1985-10-23;0;26,16;null;
1985-10-24;29;23,28;null;
1985-10-25;,8;26,18;null;
1985-10-26;72,6;24,9;null;
1985-10-27;,4;25,92;null;
1985-10-28;4;24,7;null;
1985-10-29;1,2;26,64;null;
1985-10-30;11,4;25,52;null;
1985-10-31;3,4;25,5;null;
1985-11-01;0;27,2;null;
1985-11-02;1,1;27,62;null;
1985-11-03;0;26,74;null;
1985-11-04;0;27,16;null;
1985-11-05;0;26;null;
1985-11-06;10,7;24,56;null;
1985-11-07;2;25,64;null;
1985-11-08;0;26,36;null;
1985-11-09;5,9;23,18;null;
1985-11-10;21,4;23,18;null;
1985-11-11;16,5;25,92;null;
1985-11-12;0;27,12;null;
1985-11-13;0;26,14;null;
1985-11-14;0;26,38;null;
1985-11-15;0;27,06;null;
1985-11-16;0;28,94;null;
1985-11-17;0;28,1;null;
1985-11-18;0;28,22;null;
1985-11-19;10,6;25,66;null;
1985-11-20;10,9;24,68;null;
1985-11-21;0;24,48;null;
1985-11-22;0;25,8;null;
1985-11-23;24,9;23,9;null;
1985-11-24;0;26,68;null;
1985-11-25;0;26,56;null;
1985-11-26;0;25,84;null;
1985-11-27;,2;26,64;null;
1985-11-28;0;25,38;null;
1985-11-29;11,8;24,72;null;
1985-11-30;21;25;null;
1985-12-01;25,6;23,1;null;
1985-12-02;45,2;24,3;null;
1985-12-03;24,7;26,84;null;
1985-12-04;0;25,68;null;
1985-12-05;36,3;24,34;null;
1985-12-06;4,3;24,8;null;
1985-12-07;4,7;26,02;null;
1985-12-08;2,6;26,16;null;
1985-12-09;0;25,16;null;
1985-12-10;0;26,26;null;
1985-12-11;0;25,78;null;
1985-12-12;0;27,08;null;
1985-12-13;32;24,66;null;
1985-12-14;15,1;25;null;
1985-12-15;0;26,26;null;
